id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_other_sector_05-05-2012 36 03	negative	has_low_neg_target	GLG 's largest stake is in Apple , which dominates the technology sector , but it also takes a position on the evolution of technology by eschewing hardware providers in favour of companies that can benefit from the greater use of smartphones .	eschewing hardware providers in favour of	eschewing hardware providers in favour of	(26, 31)	(26, 31)	[(27, 28)]	train
FT_other_sector_05-05-2012 36 04	positive	has_medium_pos_target	GLG 's largest stake is in Apple , which dominates the technology sector , but it also takes a position on the evolution of technology by eschewing hardware providers in favour of companies that can benefit from the greater use of smartphones .	eschewing hardware providers in favour of	eschewing hardware providers in favour of companies that can benefit from the greater use of smartphones	(26, 31)	(26, 41)	[(32, 41)]	train
FT_other_sector_05-05-2012 36 05	positive	has_medium_pos_target	GLG 's largest stake is in Apple , which dominates the technology sector , but it also takes a position on the evolution of technology by eschewing hardware providers in favour of companies that can benefit from the greater use of smartphones .	can benefit from	that can benefit from	(34, 36)	(33, 36)	[(33, 33)]	train
FT_other_sector_05-05-2012 36 06	positive	has_medium_pos_target	GLG 's largest stake is in Apple , which dominates the technology sector , but it also takes a position on the evolution of technology by eschewing hardware providers in favour of companies that can benefit from the greater use of smartphones .	greater	greater use	(38, 38)	(38, 39)	[(39, 39)]	train
FT_other_sector_05-05-2012 37 00	positive	has_medium_pos_target	British company ARM Holdings , which designs chips for smartphones , is the fund 's second largest holding .	is the fund 's second largest holding	British company ARM Holdings , which designs chips for smartphones , is the fund 's second largest holding	(11, 17)	(0, 17)	[(0, 3)]	train
FT_other_sector_05-05-2012 39 00	positive	has_medium_pos_target	GLG is also keen to point out the range of profitable companies in the sector .	is also keen to point out	is also keen to point out the range of profitable companies in the sector	(1, 6)	(1, 14)	[(7, 14)]	train
FT_other_sector_05-05-2012 39 01	positive	has_medium_pos_target	GLG is also keen to point out the range of profitable companies in the sector .	the range of profitable	the range of profitable companies	(7, 10)	(7, 11)	[(11, 11)]	train
FT_other_sector_05-05-2012 40 00	positive	has_medium_pos_target	But Tom Tuite-Dalton , analyst at Oriel Securities , warns that many tech funds are still heavily weighted towards Apple .	are still heavily weighted towards	are still heavily weighted towards Apple	(14, 18)	(14, 19)	[(19, 19)]	train
FT_other_sector_05-05-2012 42 00	negative	has_medium_neg_target	James Maltin , investment director at Rathbones Investment Management , says investors need to be aware of the downside risk if the company hits trouble .	need to be aware of the downside risk if the company hits trouble	investors need to be aware of the downside risk if the company hits trouble	(12, 24)	(11, 24)	[(11, 11)]	train
FT_other_sector_05-05-2012 42 01	negative	has_medium_neg_target	James Maltin , investment director at Rathbones Investment Management , says investors need to be aware of the downside risk if the company hits trouble .	hits trouble	the company hits trouble	(23, 24)	(21, 24)	[(21, 22)]	train
FT_other_sector_05-05-2012 43 00	positive	has_medium_pos_target	He points out that two of the three listed technology funds - Polar Capital Technology and RCM Technology Trust - focus on larger stocks , which means they retain large holdings in Apple .	focus on	focus on larger stocks	(20, 21)	(20, 23)	[(22, 23)]	train
FT_other_sector_05-05-2012 43 01	positive	has_high_pos_target	He points out that two of the three listed technology funds - Polar Capital Technology and RCM Technology Trust - focus on larger stocks , which means they retain large holdings in Apple .	retain large holdings in	retain large holdings in Apple	(28, 31)	(28, 32)	[(32, 32)]	train
FT_other_sector_05-05-2012 45 00	positive	has_medium_pos_target	So far , Polar Capital 's fund has benefited from Apple 's success : its net asset value ( NAV ) has risen more than 20 per cent in the past year .	has benefited from	Polar Capital 's fund has benefited from	(7, 9)	(3, 9)	[(3, 6)]	train
FT_other_sector_05-05-2012 45 01	positive	has_medium_pos_target	So far , Polar Capital 's fund has benefited from Apple 's success : its net asset value ( NAV ) has risen more than 20 per cent in the past year .	's success	Apple 's success	(11, 12)	(10, 12)	[(10, 10)]	train
FT_other_sector_05-05-2012 45 02	positive	has_medium_pos_target	So far , Polar Capital 's fund has benefited from Apple 's success : its net asset value ( NAV ) has risen more than 20 per cent in the past year .	has risen more than 20 per cent in the past year	its net asset value ( NAV ) has risen more than 20 per cent in the past year	(21, 31)	(14, 31)	[(14, 20)]	train
FT_other_sector_05-05-2012 46 00	positive	has_medium_pos_target	But , as a result , the fund 's share price is now trading at close to NAV - while RCM and specialist small-cap fund Herald trade on discounts of 9 per cent and 19 per cent respectively .	is now trading at close to NAV	the fund 's share price is now trading at close to NAV	(11, 17)	(6, 17)	[(6, 10)]	train
FT_other_sector_05-05-2012 46 01	positive	has_medium_pos_target	But , as a result , the fund 's share price is now trading at close to NAV - while RCM and specialist small-cap fund Herald trade on discounts of 9 per cent and 19 per cent respectively .	specialist	specialist small-cap	(22, 22)	(22, 23)	[(23, 23)]	train
FT_other_sector_05-05-2012 46 02	negative	has_low_neg_target	But , as a result , the fund 's share price is now trading at close to NAV - while RCM and specialist small-cap fund Herald trade on discounts of 9 per cent and 19 per cent respectively .	trade on discounts of 9 per cent	RCM and specialist small-cap fund Herald trade on discounts of 9 per cent	(26, 32)	(20, 32)	[(20, 20)]	train
FT_other_sector_05-05-2012 46 03	negative	has_medium_neg_target	But , as a result , the fund 's share price is now trading at close to NAV - while RCM and specialist small-cap fund Herald trade on discounts of 9 per cent and 19 per cent respectively .	trade on discounts of 9 per cent and 19 per cent	specialist small-cap fund Herald trade on discounts of 9 per cent and 19 per cent	(26, 36)	(22, 36)	[(22, 25)]	train
FT_other_sector_05-05-2012 48 00	positive	has_medium_pos_target	Maltin sees value in the wider discount .	sees value in	sees value in the wider discount	(1, 3)	(1, 6)	[(4, 6)]	train
FT_other_sector_05-05-2012 49 00	positive	has_medium_pos_target	""" There is an argument for switching to Herald , which has suffered as investment sentiment turned away from small caps , "" he says ."	There is an argument for	There is an argument for switching to Herald	(1, 5)	(1, 8)	[(6, 8)]	train
FT_other_sector_05-05-2012 49 01	positive	has_high_pos_target	""" There is an argument for switching to Herald , which has suffered as investment sentiment turned away from small caps , "" he says ."	switching to	switching to Herald	(6, 7)	(6, 8)	[(8, 8)]	train
FT_other_sector_05-05-2012 49 02	negative	has_medium_neg_target	""" There is an argument for switching to Herald , which has suffered as investment sentiment turned away from small caps , "" he says ."	has suffered	which has suffered	(11, 12)	(10, 12)	[(10, 10)]	train
FT_other_sector_05-05-2012 49 03	negative	has_low_neg_target	""" There is an argument for switching to Herald , which has suffered as investment sentiment turned away from small caps , "" he says ."	turned away from	turned away from small caps	(16, 18)	(16, 20)	[(19, 20)]	train
FT_other_sector_05-05-2012 51 00	positive	has_medium_pos_target	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001 .	's £ 396m Global Technology fund	Henderson 's £ 396m Global Technology fund	(7, 12)	(6, 12)	[(6, 6)]	train
FT_other_sector_05-05-2012 51 01	positive	has_medium_pos_target	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001 .	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest	(0, 15)	(0, 15)	[(6, 12)]	train
FT_other_sector_05-05-2012 51 02	positive	has_medium_pos_target	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001 .	having outperformed the tech fund sector since its inception in 2001	Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001	(17, 27)	(6, 27)	[(6, 12)]	train
FT_other_sector_05-05-2012 51 03	negative	has_low_neg_target	In the open-ended fund universe , Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001 .	having outperformed the tech fund sector since its inception in 2001	Henderson 's £ 396m Global Technology fund is the largest , having outperformed the tech fund sector since its inception in 2001	(17, 27)	(6, 27)	[(19, 22)]	train
FT_other_sector_05-05-2012 52 00	positive	has_medium_pos_target	Almost 10 per cent of the fund 's assets are invested in Apple , and co-manager Stuart O'Gorman makes no apology for it .	Almost 10 per cent of the fund 's assets are invested in	Almost 10 per cent of the fund 's assets are invested in Apple	(0, 11)	(0, 12)	[(12, 12)]	train
FT_other_sector_05-05-2012 52 01	positive	has_medium_pos_target	Almost 10 per cent of the fund 's assets are invested in Apple , and co-manager Stuart O'Gorman makes no apology for it .	makes no apology for	makes no apology for it	(18, 21)	(18, 22)	[(22, 22)]	train
FT_other_sector_05-05-2012 54 00	positive	has_medium_pos_target	He says Apple 's announcement that it will pay investors a dividend of $ 2.65 per share every quarter , starting in July , could change the way companies in the sector treat investors .	will pay investors a dividend of $ 2.65 per share every quarter , starting in July	will pay investors a dividend of $ 2.65 per share every quarter , starting in July	(7, 22)	(7, 22)	[(9, 9)]	train
FT_other_sector_05-05-2012 54 01	positive	has_medium_pos_target	He says Apple 's announcement that it will pay investors a dividend of $ 2.65 per share every quarter , starting in July , could change the way companies in the sector treat investors .	could change	could change the way companies in the sector treat investors	(24, 25)	(24, 33)	[(26, 33)]	train
FT_other_sector_05-05-2012 54 02	neutral	has_target_with_unknown_polarity	He says Apple 's announcement that it will pay investors a dividend of $ 2.65 per share every quarter , starting in July , could change the way companies in the sector treat investors .	treat	treat investors	(32, 32)	(32, 33)	[(33, 33)]	train
FT_other_sector_05-05-2012 55 00	positive	has_medium_pos_target	Not only will Apple 's dividend increase , but the rest of the sector will be forced to rethink dividend policies .	Not only will Apple 's dividend increase	Not only will Apple 's dividend increase	(0, 6)	(0, 6)	[(3, 5)]	train
FT_other_sector_05-05-2012 55 01	negative	has_low_neg_target	Not only will Apple 's dividend increase , but the rest of the sector will be forced to rethink dividend policies .	will be forced to rethink dividend policies	the rest of the sector will be forced to rethink dividend policies	(14, 20)	(9, 20)	[(9, 13)]	train
FT_other_sector_05-05-2012 55 02	positive	has_medium_pos_target	Not only will Apple 's dividend increase , but the rest of the sector will be forced to rethink dividend policies .	to rethink	to rethink dividend policies	(17, 18)	(17, 20)	[(19, 20)]	train
FT_other_sector_05-05-2012 57 00	negative	has_low_neg_target	""" I think the pressure is on other tech managements to return dividends to shareholders , "" he argues ."	the pressure is on	the pressure is on other tech managements	(3, 6)	(3, 9)	[(7, 9)]	train
FT_other_sector_05-05-2012 57 01	positive	has_medium_pos_target	""" I think the pressure is on other tech managements to return dividends to shareholders , "" he argues ."	to return dividends to	to return dividends to shareholders	(10, 13)	(10, 14)	[(14, 14)]	train
FT_other_sector_05-05-2012 59 00	negative	has_low_neg_target	But O'Gorman is cautious about the excitement surrounding the initial public offerings of social media companies - noting similarities between the hype that surrounded internet stocks at the end of the 1990s .	is cautious about	is cautious about the excitement surrounding the initial public offerings of social media companies	(2, 4)	(2, 15)	[(5, 15)]	train
FT_other_sector_05-05-2012 59 01	positive	has_medium_pos_target	But O'Gorman is cautious about the excitement surrounding the initial public offerings of social media companies - noting similarities between the hype that surrounded internet stocks at the end of the 1990s .	the excitement surrounding	the excitement surrounding the initial public offerings of social media companies	(5, 7)	(5, 15)	[(8, 15)]	train
FT_other_sector_05-05-2012 59 02	negative	has_medium_neg_target	But O'Gorman is cautious about the excitement surrounding the initial public offerings of social media companies - noting similarities between the hype that surrounded internet stocks at the end of the 1990s .	similarities between the hype that surrounded internet stocks at the end of the 1990s	the excitement surrounding the initial public offerings of social media companies - noting similarities between the hype that surrounded internet stocks at the end of the 1990s	(18, 31)	(5, 31)	[(5, 15)]	train
FT_other_sector_05-05-2012 59 03	positive	has_medium_pos_target	But O'Gorman is cautious about the excitement surrounding the initial public offerings of social media companies - noting similarities between the hype that surrounded internet stocks at the end of the 1990s .	the hype that surrounded internet stocks at the end of the 1990s	the hype that surrounded internet stocks at the end of the 1990s	(20, 31)	(20, 31)	[(24, 25)]	train
FT_other_sector_05-05-2012 61 00	negative	has_medium_neg_target	""" There are an awful lot of IPOs with bad long-term business models getting crazy valuations in the market , "" he explains ."	There are an awful lot of	There are an awful lot of IPOs with bad long-term business models getting crazy valuations in the market	(1, 6)	(1, 18)	[(7, 18)]	train
FT_other_sector_05-05-2012 61 01	negative	has_medium_neg_target	""" There are an awful lot of IPOs with bad long-term business models getting crazy valuations in the market , "" he explains ."	bad	bad long-term business models	(9, 9)	(9, 12)	[(10, 12)]	train
FT_other_sector_05-05-2012 61 02	neutral	has_target_with_unknown_polarity	""" There are an awful lot of IPOs with bad long-term business models getting crazy valuations in the market , "" he explains ."	getting crazy valuations in the market	an awful lot of IPOs with bad long-term business models getting crazy valuations in the market	(13, 18)	(3, 18)	[(3, 12)]	train
FT_other_sector_05-05-2012 62 00	negative	has_medium_neg_target	""" I think there are a lot of people who are going to lose a lot of money in these areas . """	are going to lose a lot of money in these areas	who are going to lose a lot of money in these areas	(10, 20)	(9, 20)	[(9, 9)]	train
FT_other_sector_05-11-2004 00 00	negative	has_medium_neg_target	Hollywood shifts focus on pirates : Film studios are stepping up the fight against illegal trafficking with lawsuits , write Scott Morrison andTim Burt	shifts focus on	shifts focus on pirates	(1, 3)	(1, 4)	[(4, 4)]	train
FT_other_sector_05-11-2004 00 01	positive	has_medium_pos_target	Hollywood shifts focus on pirates : Film studios are stepping up the fight against illegal trafficking with lawsuits , write Scott Morrison andTim Burt	are stepping up the fight against illegal trafficking with lawsuits	are stepping up the fight against illegal trafficking with lawsuits	(8, 17)	(8, 17)	[(11, 15)]	train
FT_other_sector_05-11-2004 02 00	positive	has_high_pos_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	's	's decision	(1, 1)	(1, 2)	[(2, 2)]	train
FT_other_sector_05-11-2004 02 01	negative	has_medium_neg_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	to start suing	to start suing US consumerscaught illegally sharing movies over the internet	(3, 5)	(3, 13)	[(6, 13)]	train
FT_other_sector_05-11-2004 02 02	negative	has_medium_neg_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	consumerscaught illegally sharing movies over the internet	US consumerscaught illegally sharing movies over the internet	(7, 13)	(6, 13)	[(6, 7)]	train
FT_other_sector_05-11-2004 02 03	neutral	has_high_other_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	represents a dramatic shift in strategy for the industry	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry	(14, 22)	(0, 22)	[(0, 13)]	train
FT_other_sector_05-11-2004 02 04	neutral	has_high_other_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	dramatic	dramatic shift	(16, 16)	(16, 17)	[(17, 17)]	train
FT_other_sector_05-11-2004 02 05	negative	has_high_neg_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	growing concern that	growing concern that record companies have not been able to stem endemic online music piracy	(27, 29)	(27, 41)	[(30, 41)]	train
FT_other_sector_05-11-2004 02 06	negative	has_low_neg_target	Hollywood 's decision to start suing US consumerscaught illegally sharing movies over the internet represents a dramatic shift in strategy for the industry , a move reflecting growing concern that record companies have not been able to stem endemic online music piracy .	have not been able to stem	record companies have not been able to stem	(32, 37)	(30, 37)	[(30, 31)]	train
FT_other_sector_05-11-2004 04 00	positive	has_low_pos_target	The Motion Picture Association of America , which represents top studios including Sony Pictures , Warner Brothers and NBC Universal , yesterday said member studios would launch the first lawsuits in two weeks .	represents	represents top studios including Sony Pictures , Warner Brothers and NBC Universal	(8, 8)	(8, 19)	[(9, 19)]	train
FT_other_sector_05-11-2004 04 01	positive	has_high_pos_target	The Motion Picture Association of America , which represents top studios including Sony Pictures , Warner Brothers and NBC Universal , yesterday said member studios would launch the first lawsuits in two weeks .	top	top studios	(9, 9)	(9, 10)	[(10, 10)]	train
FT_other_sector_05-11-2004 04 02	positive	has_medium_pos_target	The Motion Picture Association of America , which represents top studios including Sony Pictures , Warner Brothers and NBC Universal , yesterday said member studios would launch the first lawsuits in two weeks .	would launch the first lawsuits in two weeks	would launch the first lawsuits in two weeks	(25, 32)	(25, 32)	[(27, 29)]	train
FT_other_sector_05-11-2004 06 00	negative	has_high_neg_target	Dan Glickman , president of the MPAA , called illegal movie trafficking the industry 's greatest threat ever .	's greatest threat ever	the industry 's greatest threat ever	(14, 17)	(12, 17)	[(12, 13)]	train
FT_other_sector_05-11-2004 08 00	negative	has_medium_neg_target	He warned internet pirates they were not anonymous and that digital detectives working for the MPAA had already started collecting evidence against them .	were not anonymous	they were not anonymous	(5, 7)	(4, 7)	[(4, 4)]	train
FT_other_sector_05-11-2004 08 01	positive	has_medium_pos_target	He warned internet pirates they were not anonymous and that digital detectives working for the MPAA had already started collecting evidence against them .	had already started collecting	had already started collecting evidence against them	(16, 19)	(16, 22)	[(20, 22)]	train
FT_other_sector_05-11-2004 08 02	negative	has_high_neg_target	He warned internet pirates they were not anonymous and that digital detectives working for the MPAA had already started collecting evidence against them .	evidence against	evidence against them	(20, 21)	(20, 22)	[(22, 22)]	train
FT_other_sector_05-11-2004 10 00	negative	has_high_neg_target	""" We know who they are and we will go after them , "" he said ."	know who they are	know who they are	(2, 5)	(2, 5)	[(4, 4)]	train
FT_other_sector_05-11-2004 10 01	negative	has_medium_neg_target	""" We know who they are and we will go after them , "" he said ."	will go after	will go after them	(8, 10)	(8, 11)	[(11, 11)]	train
FT_other_sector_05-11-2004 10 02	positive	has_medium_pos_target	""" We know who they are and we will go after them , "" he said ."	will go after	we will go after them	(8, 10)	(7, 11)	[(7, 7)]	train
FT_other_sector_05-11-2004 12 00	negative	has_medium_neg_target	The US motion picture industry estimates it loses more than Dollars 3.5bn a year in potential worldwide revenue because of hard copy piracy .	loses more than Dollars 3.5bn a year in potential worldwide revenue	it loses more than Dollars 3.5bn a year in potential worldwide revenue	(7, 17)	(6, 17)	[(6, 6)]	train
FT_other_sector_05-11-2004 14 00	negative	has_medium_neg_target	That amount does not include losses from hundreds of thousands of illegal downloads over the internet every day .	does not include	That amount does not include	(2, 4)	(0, 4)	[(0, 1)]	train
FT_other_sector_05-11-2004 14 01	negative	has_high_neg_target	That amount does not include losses from hundreds of thousands of illegal downloads over the internet every day .	losses from	losses from hundreds of thousands of illegal downloads over the internet every day	(5, 6)	(5, 17)	[(7, 17)]	train
FT_other_sector_05-11-2004 14 02	negative	has_high_neg_target	That amount does not include losses from hundreds of thousands of illegal downloads over the internet every day .	illegal	illegal downloads	(11, 11)	(11, 12)	[(12, 12)]	train
FT_other_sector_05-11-2004 16 00	positive	has_medium_pos_target	The movie industry had focused much of its anti-piracy efforts on sales of pirated DVDs in developing nations , where illegal copying is much more prevalent .	had focused much of its anti-piracy efforts on	had focused much of its anti-piracy efforts on sales of pirated DVDs in developing nations	(3, 10)	(3, 17)	[(11, 17)]	train
FT_other_sector_05-11-2004 16 01	positive	has_medium_pos_target	The movie industry had focused much of its anti-piracy efforts on sales of pirated DVDs in developing nations , where illegal copying is much more prevalent .	sales of	sales of pirated DVDs	(11, 12)	(11, 14)	[(13, 14)]	train
FT_other_sector_05-11-2004 16 02	negative	has_high_neg_target	The movie industry had focused much of its anti-piracy efforts on sales of pirated DVDs in developing nations , where illegal copying is much more prevalent .	pirated	pirated DVDs	(13, 13)	(13, 14)	[(14, 14)]	train
FT_other_sector_05-11-2004 16 03	negative	has_low_neg_target	The movie industry had focused much of its anti-piracy efforts on sales of pirated DVDs in developing nations , where illegal copying is much more prevalent .	is much more prevalent	illegal copying is much more prevalent	(22, 25)	(20, 25)	[(20, 21)]	train
FT_other_sector_05-11-2004 18 00	negative	has_high_neg_target	So far , illegal movie sharing over the internet represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa , because large movie files take much longer to download than music tracks .	illegal	illegal movie sharing	(3, 3)	(3, 5)	[(4, 5)]	train
FT_other_sector_05-11-2004 18 01	negative	has_low_neg_target	So far , illegal movie sharing over the internet represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa , because large movie files take much longer to download than music tracks .	represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa	illegal movie sharing over the internet represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa	(9, 22)	(3, 22)	[(3, 8)]	train
FT_other_sector_05-11-2004 18 02	neutral	has_medium_other_target	So far , illegal movie sharing over the internet represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa , because large movie files take much longer to download than music tracks .	large	large movie files	(25, 25)	(25, 27)	[(26, 27)]	train
FT_other_sector_05-11-2004 18 03	negative	has_low_neg_target+has_medium_neg_target	So far , illegal movie sharing over the internet represents just 2 per cent of all traffic on peer-to-peer networks such as Kazaa , because large movie files take much longer to download than music tracks .	take much longer to download than	large movie files take much longer to download than music tracks	(28, 33)	(25, 35)	[(25, 27), (34, 35)]	train
FT_other_sector_05-11-2004 20 00	negative	has_high_neg_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	the decision to take on	the decision to take on internet pirates in the US	(1, 5)	(1, 10)	[(6, 10)]	train
FT_other_sector_05-11-2004 20 01	positive	has_low_pos_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	is determined to avoid the losses seen in recorded music	the movie industry is determined to avoid the losses seen in recorded music	(15, 24)	(12, 24)	[(12, 14)]	train
FT_other_sector_05-11-2004 20 02	negative	has_medium_neg_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	the losses seen in	the losses seen in recorded music	(19, 22)	(19, 24)	[(23, 24)]	train
FT_other_sector_05-11-2004 20 03	negative	has_medium_neg_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	lost to	sales lost to	(28, 29)	(27, 29)	[(27, 27)]	train
FT_other_sector_05-11-2004 20 04	negative	has_medium_neg_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	have been estimated at Dollars 2.4bn a year	sales lost to online piracy have been estimated at Dollars 2.4bn a year	(32, 39)	(27, 39)	[(27, 31)]	train
FT_other_sector_05-11-2004 20 05	negative	has_medium_neg_target	But the decision to take on internet pirates in the US demonstrates the movie industry is determined to avoid the losses seen in recorded music , where sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to physical CD copying .	with a further Dollars 4.5bn lost to	sales lost to online piracy have been estimated at Dollars 2.4bn a year , with a further Dollars 4.5bn lost to	(41, 47)	(27, 47)	[(27, 27)]	train
FT_other_sector_05-11-2004 22 00	positive	has_high_pos_target	""" There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than the music industry , which waited far too long before getting to grips with the technology , "" said the head of one Hollywood studio , who declined to be named ."	There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than	There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than	(1, 23)	(1, 23)	[(6, 9)]	train
FT_other_sector_05-11-2004 22 01	negative	has_low_neg_target	""" There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than the music industry , which waited far too long before getting to grips with the technology , "" said the head of one Hollywood studio , who declined to be named ."	There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than	There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than the music industry	(1, 23)	(1, 26)	[(24, 26)]	train
FT_other_sector_05-11-2004 22 02	negative	has_medium_neg_target	""" There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than the music industry , which waited far too long before getting to grips with the technology , "" said the head of one Hollywood studio , who declined to be named ."	attacking	attacking the problem	(14, 14)	(14, 16)	[(15, 16)]	train
FT_other_sector_05-11-2004 22 03	negative	has_low_neg_target	""" There is no question that what we are doing in the industry is attacking the problem earlier in the lifecycle of piracy than the music industry , which waited far too long before getting to grips with the technology , "" said the head of one Hollywood studio , who declined to be named ."	"waited far too long before getting to grips with the technology , """	"which waited far too long before getting to grips with the technology , """	(29, 41)	(28, 41)	[(28, 28)]	train
FT_other_sector_05-11-2004 24 00	positive	has_low_pos_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	represents	represents leading music labels	(8, 8)	(8, 11)	[(9, 11)]	train
FT_other_sector_05-11-2004 24 01	positive	has_medium_pos_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	leading	leading music labels	(9, 9)	(9, 11)	[(10, 11)]	train
FT_other_sector_05-11-2004 24 02	negative	has_medium_neg_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	sparked howls of protest last year when	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when	(13, 19)	(0, 19)	[(0, 5)]	train
FT_other_sector_05-11-2004 24 03	positive	has_medium_pos_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	started suing	started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet	(21, 22)	(21, 36)	[(23, 36)]	train
FT_other_sector_05-11-2004 24 04	negative	has_high_neg_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	accused of illegally sharing copyrighted music tracks over the internet	thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet	(27, 36)	(23, 36)	[(23, 25)]	train
FT_other_sector_05-11-2004 24 05	negative	has_high_neg_target	The Recording Industry Association of America , which represents leading music labels , sparked howls of protest last year when it started suing thousands of individuals it accused of illegally sharing copyrighted music tracks over the internet .	illegally	illegally sharing	(29, 29)	(29, 30)	[(30, 30)]	train
FT_other_sector_05-11-2004 26 00	negative	has_medium_neg_target	But another movie executive , warning of a looming crisis , claimed that the music industry had failed to stem endemic piracy with a spate of lawsuits and the launch of legitimate online services .	warning of	warning of a looming crisis	(5, 6)	(5, 9)	[(7, 9)]	train
FT_other_sector_05-11-2004 26 01	negative	has_medium_neg_target	But another movie executive , warning of a looming crisis , claimed that the music industry had failed to stem endemic piracy with a spate of lawsuits and the launch of legitimate online services .	looming	a looming crisis	(8, 8)	(7, 9)	[(7, 9)]	train
FT_other_sector_05-11-2004 26 02	negative	has_medium_neg_target	But another movie executive , warning of a looming crisis , claimed that the music industry had failed to stem endemic piracy with a spate of lawsuits and the launch of legitimate online services .	had failed to stem	had failed to stem endemic piracy	(16, 19)	(16, 21)	[(20, 21)]	train
